.63,9.48
1.77,-0.04,9.93
2.90,-0.15,9.26
3.05,0.00,7.98
1.89,-0.72,7.53
2.91,0.49,10.32
2.79,-0.24,9.97
2.69,0.03,9.42
3.07,-0.28,8.67
3.57,0.07,8.71
3.25,0.14,8.79
3.32,-0.19,8.78
3.56,0.07,10.38
3.67,-0.05,8.66
4.41,0.51,9.38
3.50,-0.98,14.08
5.35,0.86,10.82
5.50,0.36,11.18
3.04,1.76,8.49
3.34,-0.95,9.95
3.46,-0.36,8.45
3.03,-0.16,7.62
2.46,-0.23,7.41
2.58,-0.03,7.57
3.03,0.01,7.82
3.43,0.35,8.82
3.55,-0.29,7.51
3.99,0.28,8.18
3.88,0.14,8.71
3.31,0.12,8.82
3.09,-0.32,8.45
3.16,-0.42,8.58
3.44,-0.15,9.03
4.05,-0.28,8.61
3.76,-0.24,9.02
3.62,-0.08,9.11
3.39,-0.11,9.43
3.59,-0.19,8.82
3.17,-0.52,9.61
3.59,-0.17,9.48
3.69,-0.37,9.54
3.40,-0.12,9.29
3.54,0.29,9.73
3.57,-0.01,9.61
3.42,-0.01,9.70
3.53,-0.11,10.18
3.65,0.11,10.00
3.06,-0.16,9.96
3.50,0.26,11.30
3.33,-0.13,10.32
3.39,-0.22,10.03
3.43,0.11,9.81
3.06,-0.32,8.41
2.84,0.00,9.59
2.69,0.14,8.50
2.42,0.33,9.28
2.52,-0.27,8.79
2.81,-0.25,9.56
2.54,-0.47,8.88
2.93,-0.32,8.95
2.91,-0.42,9.24
3.24,-0.50,9.10
3.13,-0.52,9.13
3.34,-0.08,9.30
3.08,-0.42,8.62
3.15,-0.36,9.39
3.14,-0.34,9.32
3.16,-0.13,9.43
3.03,-0.63,9.13
2.91,-0.28,9.42
2.79,-0.57,8.86
2.79,-0.05,8.62
2.28,-0.11,8.63
2.58,-0.49,8.45
2.44,-0.44,9.11
2.61,-0.62,8.60
2.70,-0.34,7.69
2.73,-0.03,8.41
2.83,-0.28,8.22
3.23,-0.25,9.10
2.77,-0.46,9.09
3.08,-0.78,9.32
2.80,-0.18,8.78
3.11,-0.33,9.37
2.84,-0.63,9.79
2.68,-0.35,9.17
2.75,-0.09,9.81
2.73,-0.59,9.20
2.72,-0.58,9.93
2.81,0.11,10.89
2.39,0.17,10.65
2.60,-0.49,10.72
2.52,-0.17,10.39
2.58,-0.26,11.35
3.18,0.37,10.64
2.61,-0.31,10.54
3.34,-0.33,9.44
2.94,0.25,9.27
2.62,-0.11,8.99
3.22,0.29,8.69
2.52,-0.17,8.19
2.90,-0.18,8.36
2.83,-0.12,8.14
2.90,0.18,8.60
3.24,-0.02,9.00
3.24,-0.34,8.56
3.13,0.17,8.75
2.64,-0.45,8.80
2.92,0.36,9.63
2.98,-0.19,9.31
3.16,0.61,9.10
3.10,0.00,7.99
3.04,0.29,8.56
2.81,-0.20,9.21
2.86,-0.02,9.29
2.51,-0.17,8.74
2.90,-0.33,8.64
2.18,-0.31,9.11
2.67,-0.41,9.39
2.44,0.28,9.12
2.25,0.05,9.52
2.69,0.55,8.88
2.35,-0.13,9.54
2.42,0.15,9.48
2.66,0.28,9.73
2.36,0.23,10.02
2.44,-0.08,9.41
2.32,0.86,9.66
2.38,0.19,10.76
2.38,0.14,10.49
2.50,0.12,10.74
2.66,-0.03,10.66
2.37,-0.02,11.23
2.85,0.05,10.71
2.45,0.38,10.45
2.65,0.00,9.51
2.84,0.29,9.48
2.48,0.31,9.97
2.87,0.00,9.29
2.96,0.09,9.72
2.60,0.13,10.19
3.08,-0.22,10.65
2.68,-0.01,9.90
2.80,0.26,9.06
2.53,0.26,8.80
2.51,0.13,8.93
2.62,-0.03,7.91
2.50,-0.03,9.00
2.71,0.30,8.84
3.10,0.27,8.60
3.40,0.11,8.59
2.57,0.00,9.81
2.98,0.22,8.67
2.75,0.00,8.92
2.88,-0.02,9.24
3.12,-0.18,9.56
3.05,0.13,9.58
3.37,0.33,9.84
2.68,-0.22,9.68
2.97,0.02,10.09
2.89,-0.12,9.44
2.75,0.43,9.58
2.63,0.04,9.18
2.70,0.30,9.71
2.83,0.26,9.43
2.57,-0.12,9.69
2.18,-0.04,9.08
2.53,0.00,9.38
2.52,0.15,8.84
2.07,0.00,9.21
2.49,-0.03,8.76
2.19,-0.24,9.10
2.41,-0.23,9.26
2.39,-0.32,9.15
2.27,0.16,9.34
2.41,-0.49,9.61
2.63,-0.11,10.73
2.11,0.44,10.04
2.62,-0.41,8.36
2.37,-0.18,10.28
2.81,-0.19,8.72
1.67,-0.48,9.81
2.89,0.03,9.14
2.38,-0.27,9.64
2.25,0.13,9.21
2.10,-0.03,9.51
2.25,0.10,9.92
1.82,0.52,8.19
1.46,-0.02,8.57
1.66,0.31,8.25
1.17,-0.24,8.28
1.28,0.17,9.37
1.24,-0.13,9.72
1.32,0.19,9.68
1.09,-0.33,10.30
1.23,-0.10,10.15
1.28,-0.31,10.29
1.81,-0.42,10.82
1.75,-0.27,10.28
1.54,0.22,10.57
1.96,0.24,10.79
2.02,-0.09,10.56
2.14,0.02,10.11
1.95,-0.69,10.57
2.17,-0.21,11.19
2.26,-0.49,9.41
1.61,-0.29,9.61
1.59,-0.33,8.44
1.79,0.41,9.12
1.57,0.01,8.40
1.76,0.12,8.82
1.39,0.00,7.16
1.58,0.90,8.86
1.47,-0.23,8.06
1.11,-0.26,8.48
0.92,0.51,10.81
0.92,0.11,9.71
1.57,-0.33,9.21
1.52,-0.23,8.13
1.53,0.12,9.29
1.48,0.05,9.09
0.73,-0.56,6.80
0.13,-0.60,7.88
-0.18,-0.42,7.13
-0.80,0.63,7.71
-1.24,0.13,12.15
0.48,0.35,14.20
0.64,-0.56,13.60
0.16,-0.33,13.82
-0.41,0.36,12.09
-0.02,-0.79,9.37
-0.88,-1.23,17.37
-1.88,-0.56,8.79
-0.91,-0.55,13.40
-0.88,-0.55,10.58
-0.25,0.79,11.24
1.80,1.22,10.16
3.04,0.66,10.84
3.24,0.47,9.73
3.72,-1.69,9.70
1.43,0.66,10.08
1.04,-0.84,8.96
0.60,-0.61,7.82
0.00,-0.98,8.46
0.20,-0.65,7.75
-0.05,-1.04,8.13
-0.22,-0.64,7.86
-0.44,-0.37,9.65
-0.68,0.06,8.04
-0.38,1.00,8.46
0.58,-0.63,8.15
0.00,0.30,10.44
-0.31,0.02,9.56
0.49,0.41,11.18
0.48,-0.55,8.02
0.52,0.08,10.36
0.64,0.08,10.56
0.11,-0.30,11.65
0.53,-0.47,10.63
0.95,0.34,10.67
-0.04,-0.26,9.76
0.14,-0.42,10.22
0.14,0.48,12.10
0.26,-0.03,10.42
0.31,-0.02,10.38
-0.14,-0.33,10.26
0.06,-0.44,11.53
-0.35,-0.17,11.36
-0.40,-0.38,10.40
-0.22,-0.11,11.20
-0.19,-0.42,9.66
-0.34,-0.90,7.20
-0.57,-0.72,8.27
-1.58,-1.12,8.20
-2.41,-0.50,8.82
-3.18,0.74,9.55
-3.36,0.21,9.59
-2.42,-0.61,10.55
-2.07,-0.53,10.26
-2.04,-0.66,11.49
-1.13,-0.16,9.93
-1.15,-0.45,9.14
-2.40,-1.23,10.02
-1.72,0.35,9.15
-1.59,-0.06,8.23
-1.51,0.25,10.14
-1.94,-0.67,9.85
-1.10,0.03,10.07
-1.73,-0.88,9.61
-1.84,-0.76,9.99
-2.45,-1.31,10.05
-1.43,-0.59,9.60
-2.08,-1.45,10.49
-1.38,-0.98,8.91
-2.07,-1.23,10.50
-2.01,-0.92,9.46
-2.15,-0.84,9.62
-1.58,-0.38,10.34
-1.85,-1.02,9.27
-1.64,-1.13,9.31
-1.84,-1.18,10.08
-1.61,-0.73,10.09
-1.37,-0.90,10.12
-1.67,-0.82,10.12
-2.42,-0.93,10.30
-1.93,-0.52,11.04
-2.22,-0.97,10.35
-2.39,-0.73,10.28
-3.01,-1.57,9.18
-3.11,-0.77,9.44
-3.04,-1.69,10.40
-2.49,-1.55,10.18
-2.74,-1.36,10.29
-2.50,-1.48,10.72
-2.46,-1.21,11.12
-2.29,-1.29,9.23
-2.55,-1.66,11.51
-2.79,-2.41,9.46
-1.80,-1.39,10.39
-2.24,-2.14,10.10
-2.66,-1.73,11.25
-2.77,-1.78,11.08
-1.41,-2.11,11.18
-2.84,-1.67,10.49
-2.60,-2.17,10.84
-2.24,-2.10,9.11
-2.54,-1.69,10.73
-2.38,-1.60,8.60
-2.59,-1.61,9.82
-3.04,-2.37,9.29
-2.50,-2.21,9.83
-2.39,-2.31,10.03
-2.42,-1.97,9.96
-2.28,-2.19,10.55
-1.99,-2.78,12.34
-1.93,-3.38,10.93
-1.85,-4.15,9.74
-1.91,-4.41,10.29
-2.58,-4.57,9.10
-2.71,-5.13,8.85
-2.60,-4.10,8.14
-2.43,-4.10,7.94
-2.53,-4.21,7.24
-1.99,-3.96,8.52
-2.31,-4.89,8.19
-2.55,-6.39,9.86
-2.50,-5.72,9.30
-2.22,-5.64,9.94
-2.07,-5.28,9.70
-1.84,-5.40,9.68
-1.45,-5.50,9.53
-2.02,-4.88,9.45
-1.91,-4.93,10.40
-1.64,-5.10,9.90
-1.62,-5.20,10.33
-1.71,-5.23,10.03
-1.51,-4.85,9.73
-1.41,-4.97,9.73
-1.33,-4.65,10.18
-1.33,-4.50,9.97
-0.91,-4.26,10.46
-1.20,-4.76,10.81
-0.88,-4.55,10.07
-1.66,-4.45,10.37
-1.67,-4.50,9.50
-2.29,-4.96,10.11
-0.96,-4.29,10.11
-0.53,-4.17,9.91
-0.19,-4.87,10.58
-1.09,-4.21,10.31
-0.84,-4.34,10.53
-1.64,-4.04,10.29
-1.23,-4.21,10.64
-1.05,-4.07,10.66
-0.95,-3.87,11.03
-0.82,-3.98,9.70
-0.84,-3.84,10.03
-1.25,-3.82,9.63
-1.00,-4.31,9.62
-1.24,-4.57,9.45
-0.90,-4.43,9.32
-0.54,-4.35,9.48
-0.17,-5.36,12.01
-0.15,-5.23,10.57
0.18,-5.83,10.70
0.36,-5.63,10.16
0.50,-4.78,10.07
0.11,-4.51,9.53
-0.28,-4.93,8.89
-0.30,-4.33,10.19
-0.37,-4.25,9.84
-0.41,-4.71,11.82
-0.28,-4.18,9.37
-0.40,-4.17,9.58
-0.72,-4.62,8.41
-0.51,-4.56,10.24
-0.70,-4.63,7.58
-0.39,-4.62,10.05
-0.11,-4.50,9.50
0.44,-4.07,9.47
1.17,-4.25,9.18
1.10,-5.54,10.10
0.85,-5.05,8.89
1.04,-4.40,9.52
1.25,-4.43,8.68
0.76,-3.89,10.20
0.69,-4.11,10.31
0.75,-3.97,11.15
0.64,-4.15,10.29
0.82,-3.55,10.20
0.90,-3.55,9.17
1.30,-4.39,9.07
0.85,-4.33,8.46
0.83,-4.40,8.72
0.42,-4.38,9.51
0.41,-4.13,9.73
1.51,-3.96,9.41
2.34,-4.61,10.06
2.38,-5.48,10.41
2.26,-4.31,10.57
1.83,-4.64,9.76
1.90,-4.66,10.16
0.98,-4.63,9.63
0.78,-4.23,8.44
0.90,-4.04,8.54
0.98,-4.27,9.02
0.97,-4.29,8.51
1.21,-4.18,8.51
1.01,-4.23,8.32
1.24,-4.43,9.47
1.29,-4.47,8.83
1.50,-4.45,9.73
1.48,-4.73,8.76
1.39,-4.85,9.14
1.68,-4.14,8.31
1.24,-4.32,8.84
1.05,-4.36,9.13
0.90,-4.34,9.28
0.95,-4.06,10.01
0.85,-4.10,9.61
0.49,-4.20,9.29
0.57,-4.18,9.83
0.60,-4.30,10.06
0.48,-4.16,9.74
1.06,-3.94,9.19
0.60,-4.15,9.90
0.94,-3.83,8.96
0.57,-3.67,9.06
0.85,-4.61,9.52
1.35,-3.96,8.82
1.33,-4.83,10.54
1.54,-4.87,9.42
1.49,-4.75,10.10
1.54,-5.06,8.90
1.40,-4.39,9.92
1.48,-4.34,10.19
1.59,-4.54,9.22
1.51,-4.19,9.30
1.00,-4.32,8.64
0.93,-4.41,9.77
1.01,-3.89,9.48
0.94,-3.96,9.83
0.88,-4.48,9.36
1.09,-3.83,10.19
0.96,-4.12,9.21
1.27,-4.08,9.75
1.35,-4.21,8.90
1.23,-4.06,10.25
1.06,-4.18,9.05
1.03,-4.24,9.77
1.09,-4.20,9.24
0.83,-4.07,9.60
1.00,-4.64,9.49
0.93,-4.44,10.59
0.82,-4.71,9.25
1.10,-4.85,10.19
0.87,-4.90,9.05
0.76,-4.46,10.28
0.35,-4.68,9.31
0.70,-4.58,9.30
0.85,-4.60,8.95
0.94,-4.40,9.36
1.16,-4.49,9.59
0.94,-4.92,9.31
1.24,-4.96,10.04
1.38,-4.89,9.41
1.43,-4.86,9.68
1.23,-4.84,8.83
1.36,-4.27,9.06
1.12,-4.39,8.73
1.27,-3.86,9.04
0.95,-4.03,8.54
0.94,-3.85,9.77
1.05,-3.70,8.47
0.93,-3.43,8.79
0.78,-3.62,9.35
1.39,-3.70,9.23
1.32,-3.54,9.95
1.47,-3.37,9.37
1.47,-3.50,9.67
1.44,-3.33,9.75
1.28,-3.60,9.62
1.46,-3.32,9.84
1.42,-3.22,10.05
1.43,-3.15,8.93
1.03,-3.45,10.41
1.56,-3.40,9.41
1.23,-3.32,10.14
1.11,-3.35,10.04
1.49,-3.80,9.89
1.31,-3.31,9.59
0.90,-3.67,10.65
1.49,-3.72,9.62
0.81,-3.40,8.66
1.07,-3.13,9.49
1.18,-3.21,9.51
0.97,-3.66,9.69
1.31,-3.46,9.21
1.39,-3.40,9.20
1.04,-3.59,9.61
1.00,-3.49,9.18
1.11,-3.77,8.43
1.29,-3.35,8.83
0.82,-3.71,8.33
1.11,-3.57,9.84
1.05,-3.73,8.65
1.21,-3.69,9.42
1.10,-3.84,8.66
1.36,-3.53,9.74
1.44,-3.59,8.46
1.47,-3.29,9.54
1.43,-3.51,8.68
1.36,-3.43,9.70
1.27,-3.18,9.10
1.40,-3.01,10.38
1.47,-3.22,9.68
1.33,-3.20,9.77
1.49,-3.14,9.85
1.55,-2.86,9.46
1.55,-2.54,9.85
1.43,-2.62,9.30
1.46,-2.48,9.95
1.28,-2.87,10.09
1.32,-2.44,10.52
1.38,-2.11,8.90
1.45,-1.66,9.68
0.77,-1.93,8.44
0.37,-2.61,9.60
1.53,-3.39,9.51
1.34,-3.18,9.73
1.21,-3.24,9.61
0.79,-2.92,10.10
1.24,-3.38,10.09
1.20,-4.13,9.71
0.62,-4.96,10.98
-0.12,-4.11,9.78
-0.13,-3.91,10.29
0.11,-3.79,8.82
0.13,-3.54,9.56
-0.38,-2.49,9.75
-0.90,-1.76,9.26
-1.44,-1.53,9.16
-1.92,-1.81,8.19
-2.17,-2.10,8.32
-2.96,-2.38,9.82
-3.11,-2.50,10.27
-1.44,-2.74,10.26
-1.95,-2.69,9.34
-1.56,-2.76,10.32
-1.38,-2.89,11.32
-1.26,-3.21,10.78
-1.62,-3.34,11.27
-2.08,-3.56,10.98
-1.16,-2.83,11.73
-1.63,-3.05,9.65
-2.14,-2.61,8.66
-1.85,-1.83,10.20
-1.95,-2.09,9.75
-1.96,-2.28,9.95
-1.91,-2.20,10.21
-1.65,-1.43,9.98
-1.89,-1.12,10.32
-1.88,-0.64,10.48
-2.04,-0.96,9.84
-1.46,-1.84,9.84
-1.58,-1.95,10.06
-2.23,-1.84,9.88
-2.37,-1.88,10.22
-1.65,-1.59,9.60
-1.74,-1.57,9.94
-1.63,-1.52,9.63
-1.58,-1.32,9.85
-1.61,-0.93,10.29
-1.62,-1.05,9.83
-1.94,-1.25,10.20
-1.71,-1.26,9.93
-1.79,-1.39,10.01
-1.58,-1.47,9.91
-1.66,-1.43,9.54
-1.64,-1.33,9.70
-1.71,-1.32,9.81
-1.41,-1.22,9.83
-1.45,-1.25,9.51
-1.27,-1.07,10.06
-1.46,-0.94,9.83
-1.46,-0.76,10.21
-1.37,-0.82,10.21
-1.43,-0.67,10.15
-1.48,-0.65,10.37
-1.45,-0.46,10.41
-1.34,-0.60,10.56
-1.29,-0.59,10.58
-1.42,-0.76,10.56
-1.49,-0.53,10.20
-1.34,-0.07,10.33
-1.33,0.13,9.88
-1.14,-0.14,10.32
-1.06,-0.06,10.10
-1.01,0.00,10.15
-0.91,-0.36,10.03
-0.88,-0.37,10.23
-0.95,-0.29,9.88
-0.99,-0.14,9.94
-1.03,-0.27,10.02
-1.12,-0.52,9.95
-1.17,-0.34,9.96
-0.95,-0.19,9.96
-1.10,-0.20,9.83
-1.01,-0.09,10.07
-1.05,0.00,10.08
-1.00,0.03,9.89
-1.05,-0.15,9.84
-1.16,-0.22,10.06
-1.10,-0.22,9.81
-1.13,-0.26,10.02
-1.13,-0.25,9.92
-1.01,-0.28,9.91
-1.13,-0.34,10.05
-1.09,-0.09,10.02
-1.08,-0.18,10.20
-1.01,-0.32,9.93
-1.10,-0.31,10.07
-0.90,-0.15,9.95
-0.90,-0.19,9.90
-0.79,-0.32,9.87
-0.77,-0.21,9.78
-0.71,-0.27,9.96
-0.48,-0.16,9.74
-0.67,-0.16,9.77
-0.55,-0.31,9.92
-0.63,-0.31,9.94
-0.59,-0.30,9.79
-0.53,-0.21,9.75
-0.68,-0.32,10.01
-0.62,-0.03,9.84
-0.64,-0.03,9.99
-0.50,0.00,9.98
-0.50,-0.11,9.99
-0.42,-0.09,9.98
-0.42,-0.11,9.87
-0.40,-0.11,10.06
-0.27,-0.13,9.91
-0.30,0.00,9.97
-0.18,-0.10,9.84
-0.06,-0.21,9.77
0.02,-0.16,9.99
0.03,-0.26,9.99
0.03,-0.35,9.87
-0.07,-0.44,9.79
0.20,-0.09,10.03
0.34,-0.20,9.50
0.83,0.01,9.95
1.00,-0.05,9.60
0.92,-0.15,9.73
0.84,-0.10,9.61
0.91,0.05,10.04
1.03,0.10,9.71
1.21,0.10,9.82
1.14,0.11,9.63
1.00,0.16,9.87
0.80,-0.05,9.95
0.77,-0.09,9.64
0.84,-0.11,9.65
0.69,-0.11,9.84
0.79,-0.16,9.72
0.82,-0.13,9.74
0.82,-0.22,9.72
0.79,-0.18,9.60
0.65,-0.23,9.87
0.67,-0.18,9.64
0.62,-0.20,9.73
0.59,-0.20,9.55
0.53,-0.19,9.72
0.60,-0.10,9.59
0.48,-0.09,9.81
0.57,-0.13,9.67
0.47,-0.25,9.73
0.49,-0.20,9.78
0.49,-0.20,9.66
0.58,-0.17,9.78
0.56,-0.11,9.75
0.54,0.00,9.82
0.58,0.00,9.82
0.48,-0.11,9.97
0.47,-0.08,9.68
0.39,-0.16,9.91
0.46,-0.17,9.84
0.42,-0.14,9.82
0.42,-0.17,9.79
0.25,-0.16,9.81
0.29,-0.10,9.80
0.22,-0.13,9.95
0.22,-0.08,9.77
0.08,-0.11,9.78
0.00,-0.19,10.00
0.02,-0.14,9.72
0.03,-0.23,9.96
0.09,-0.19,9.80
-0.03,-0.21,9.85
0.02,-0.18,9.75
-0.02,-0.23,9.88
0.05,-0.19,9.71
-0.01,-0.22,9.92
0.00,-0.19,9.83
-0.05,-0.19,9.80
-0.02,-0.10,9.99
-0.03,-0.06,9.70
-0.09,-0.11,9.87
-0.03,0.00,9.85
-0.08,-0.18,9.82
-0.01,-0.11,9.84
-0.06,-0.13,9.81
-0.08,-0.22,9.93
0.08,-0.16,9.75
-0.08,-0.22,9.91
-0.09,-0.12,9.76
-0.13,-0.18,9.99
0.00,-0.20,9.79
-0.09,-0.17,9.89
-0.04,-0.19,10.01
0.20,-0.06,9.68
0.19,-0.18,9.84
0.41,-0.06,9.84
0.30,-0.18,9.83
0.56,-0.17,9.78
0.58,-0.10,9.90
0.67,-0.19,9.72
0.72,-0.20,9.78
0.91,-0.06,9.61
1.13,-0.04,9.65
1.16,-0.04,9.55
1.17,-0.08,9.56
1.22,-0.07,9.64
1.22,-0.02,9.71
1.18,-0.07,9.53
1.33,-0.04,9.52
1.49,-0.01,9.82
1.38,-0.10,9.57
1.41,-0.09,9.79
1.32,-0.08,9.62
1.43,0.00,9.80
1.32,-0.01,9.61
1.38,0.08,9.87
1.29,-0.01,9.46
0.94,-0.19,9.85
1.01,-0.12,9.59
0.86,-0.16,9.84
0.81,-0.14,9.69
0.69,-0.14,9.79
0.65,-0.10,9.84
0.69,-0.13,9.86
0.81,-0.13,9.69
0.82,-0.09,9.71
0.83,-0.11,9.85
1.01,-0.06,9.48
0.95,-0
